Sl. No,Project Name,Agency,Project Code,State,Approval Date,Start Date,Target DoC,Revised DoC,Original Cost,Revised Cost,Cumulative Expenditure,Physical Progress
127,Venkatesh Khani Coal Mine,Singareni Collieries Company Limited [SCCL],615863,Telangana,10/2020,06/2020,03/2026,-,484.5,484.5,477.14,97
128,Kakatiyakhani OC - 2 Project,Singareni Collieries Company Limited [SCCL],615865,Telangana,08/2017,09/2017,03/2025,03/2026,442.42,442.42,253.41,64
129,MOHANPUR EXPANSION OC -PHASE I,Eastern Coal Fields Limited [ECL],400173,West Bengal,11/2020,11/2020,03/2026,03/2030,888.99,888.99,153.96,31.52
130,BONJEMEHARI EXPANSION OCP,Eastern Coal Fields Limited [ECL],400180,West Bengal,08/2021,08/2021,03/2026,03/2030,570.11,570.11,98.58,17.13
131,NAKRAKONDA KUMARDIH- B OCP,ECL - CIL,400181,West Bengal,08/2018,08/2018,03/2029,-,502.68,502.67,88.9,28.58
139,50 MW Wind Power Project,NLC India Limited,617299,Gujarat,07/2022,01/2024,06/2025,12/2026,383.84,383.84,333.34,52
140,600 MW Khavda Solar Power Project,NLC India Limited [NLCIL],617730,Gujarat,08/2023,06/2024,06/2026,12/2026,3335.85,3335.85,2122.95,62
141,200 MW SPP part of 510 MW CPSU scheme,NLC India Limited [NLCIL],618991,Gujarat,07/2022,03/2024,12/2026,-,1221.41,1221.41,71.51,0
142,100 MW SPP part of SECI 150 MW Hybrid,NLC India Limited [NLCIL],618992,Gujarat,07/2022,04/2024,12/2026,-,480.68,480.68,2.75,1.2
143,NLC Talabira Thermal Power Project,NLC India Limited,400231,Odisha,01/2017,01/2024,03/2030,-,27212.96,27212.96,3574.21,4.1
144,810 MW Solar Power Project - Rajasthan,NLC India Limited [NLCIL],618981,Rajasthan,10/2024,09/2025,03/2028,-,4147.07,4147.07,249.95,0
145,Dharamjaigarh-Korba (Railway),Railway,400203,Chhattisgarh,05/2018,03/2017,12/2026,08/2026,1686.22,2438.53,792.73,43.7
146,Shivpur-Kathautia New Rail [BG] Line [49 km] [Package II of Tori-Shivpur-Kathautia line],Ministry of Coal,400416,Jharkhand,02/2018,05/2022,06/2025,06/2027,1799.64,2564.34,1784.77,72
147,Tubed Coal Mine,Damodar Valley Corporation,400192,Jharkhand,07/2016,10/2016,05/2026,12/2026,1581,1581,624.86,37
148,Badam Coal Mining project of NTPC,National Thermal Power Corporation [NTPC],603293,Jharkhand,02/2019,09/2019,12/2056,04/2027,502,784,438.57,67.86
151,186 MW Tato-I H E Project,North Eastern Electric Power Corporation Limited,611699,Arunachal Pradesh,12/2024,05/2025,07/2029,-,1750.07,1750.07,79.45,5.6
152,700 MW Tato-II HE Project,North Eastern Electric Power Corporation Limited,611716,Arunachal Pradesh,09/2025,09/2025,09/2031,-,8146.21,8146.21,253.97,6.59
153,Kalai-II Hydro Electric Project [1200 MW],THDC India Limited,619311,Arunachal Pradesh,04/2026,04/2026,10/2032,-,14105.83,14105.83,189.68,0
154,Buxar Thermal Power Project [1320 MW],Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,602579,Bihar,03/2019,06/2019,01/2024,05/2026,10439.09,13756.56,13731.77,95.01
155,"Nabinagar Super Thermal Power Project, Stage-II [3x800 MW]",National Thermal Power Corporation [NTPC],619051,Bihar,11/2024,03/2025,07/2030,07/2030,29948,29948,3422.25,15
156,Lara Super Thermal Power Project Stage-II [2 x 800 MW],National Thermal Power Corporation [NTPC],611930,Chhattisgarh,08/2023,08/2023,06/2028,11/2028,15530,16106,5472.13,33.5
157,"Sipat Super Thermal Power Project, Stage-III [1x800 MW]",National Thermal Power Corporation [NTPC],617188,Chhattisgarh,09/2024,09/2024,09/2029,11/2029,9791,9791,1910.55,22.31
158,Bagodara Solar Power Project,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,709747,Gujarat,03/2021,05/2021,12/2025,12/2025,339.35,339.35,370,51.86
159,Dhaulasidh Hydro Electric Project [66 MW],Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,602582,Himachal Pradesh,10/2020,05/2021,11/2025,03/2027,687.97,1763.31,1275.68,80.69
160,Luhri Stage-I Hydro Electric Project [210 MW],Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,602593,Himachal Pradesh,11/2020,11/2020,01/2026,05/2030,1810.56,4345.31,1980.59,52.13
161,Sunni Dam Hydro Electric Project [382 MW],Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,611586,Himachal Pradesh,01/2023,01/2023,04/2028,12/2029,2614.51,4555.49,1152.21,34.66
162,"Pakal Dul [Drangdhuran] Hydroelectric Project, 1000 MW",National Hydroelectric Power Corporation Limited [NHPC],602525,Jammu and Kashmir,10/2014,02/2018,04/2020,12/2026,8112.12,12728,9313.54,82.05
163,Kiru HE Project,National Hydroelectric Power Corporation Limited [NHPC],602532,Jammu and Kashmir,03/2019,02/2020,09/2023,12/2026,4287.59,5409,3948.67,87
164,"Ratle HE Project - 850 MW, Ratle Hydroelectric Power Corporation Limited.",National Hydroelectric Power Corporation Limited [NHPC],602535,Jammu and Kashmir,02/2021,01/2022,02/2026,11/2028,5281.94,5281.94,1645.11,31.53
165,Kwar HE Project,National Hydroelectric Power Corporation Limited [NHPC],605155,Jammu and Kashmir,05/2022,11/2022,11/2026,03/2028,4526.12,4526.12,1701.47,36.52
166,Patratu Thermal Power Station Expansion Project Phase-I [3x800 MW],National Thermal Power Corporation [NTPC],400261,Jharkhand,11/2017,11/2017,03/2023,04/2027,18668,20302,19735.72,92
167,"Koderma Thermal Power Station Phase II [2X800 MW] At Koderma, Jharkhand",Damodar Valley Corporation,611509,Jharkhand,04/2023,11/2024,07/2029,-,14358,14358,2229.31,14.3
